FILE     : ETPOLUT1.DAT
STATUS   : 1997.03.16                                       
CONTENTS : Pole coordinates and earth rotation,                                  
           one day sampling interval, given at 0 hours UTC.             
                                                                                
           The pole coordinates, UT1-UTC and TAI-UT1 have been taken from 
           files EOPC04.xx (xx = year), transferred from IERS via INTERNET 
           to Karlsruhe at 19941108, 19950310, 19951011, 19960218, 19970305
           and transformed to current format using program IERS.FOR. 
                          
           Adress: 145.238.2.21
           login:  anonymous
           password: wenzel gik karlsruhe
           directory: cd iers cd old
                                                      
           Start: 19720101  MJD = 41317.000                                     
           End  : 19970228  MJD = 50507.000                                     

           Span :                  9190.000 days  = 25.16 years                  
                                                                                
Date     Time    MJD          x         y       UT1-UTC   TAI-UT1                                   
                             ["]       ["]      [SEC]     [SEC]                                   
C****************************************************************************** 
19720323 000000 41399.000  -0.17440   0.12330 -0.315491 10.315491
19720324 000000 41400.000  -0.17560   0.12680 -0.318680 10.318680
19720325 000000 41401.000  -0.17680   0.13020 -0.322027 10.322027
19720326 000000 41402.000  -0.17800   0.13370 -0.325530 10.325530
19720327 000000 41403.000  -0.17900   0.13720 -0.329154 10.329154
19720328 000000 41404.000  -0.18010   0.14070 -0.332844 10.332844
19720329 000000 41405.000  -0.18110   0.14410 -0.336545 10.336545
19720330 000000 41406.000  -0.18200   0.14760 -0.340192 10.340192
19720331 000000 41407.000  -0.18290   0.15110 -0.343732 10.343732
19720401 000000 41408.000  -0.18370   0.15450 -0.347132 10.347132
19720402 000000 41409.000  -0.18450   0.15800 -0.350384 10.350384
19720403 000000 41410.000  -0.18520   0.16140 -0.353513 10.353513
19720404 000000 41411.000  -0.18590   0.16480 -0.356556 10.356556
19720405 000000 41412.000  -0.18650   0.16830 -0.359571 10.359571
19720406 000000 41413.000  -0.18700   0.17160 -0.362627 10.362627
19720407 000000 41414.000  -0.18750   0.17500 -0.365803 10.365803
19720408 000000 41415.000  -0.18800   0.17840 -0.369180 10.369180
19720409 000000 41416.000  -0.18840   0.18170 -0.372803 10.372803
19720410 000000 41417.000  -0.18870   0.18500 -0.376713 10.376713
19720411 000000 41418.000  -0.18900   0.18830 -0.380883 10.380883
19720412 000000 41419.000  -0.18930   0.19160 -0.385207 10.385207
19720413 000000 41420.000  -0.18950   0.19480 -0.389538 10.389538
19720414 000000 41421.000  -0.18960   0.19800 -0.393717 10.393717
19720415 000000 41422.000  -0.18970   0.20120 -0.397622 10.397622
19720416 000000 41423.000  -0.18970   0.20430 -0.401223 10.401223
19720417 000000 41424.000  -0.18970   0.20740 -0.404568 10.404568
19720418 000000 41425.000  -0.18960   0.21050 -0.407774 10.407774
19720419 000000 41426.000  -0.18950   0.21360 -0.410968 10.410968
19720420 000000 41427.000  -0.18930   0.21660 -0.414248 10.414248
19720421 000000 41428.000  -0.18910   0.21960 -0.417659 10.417659
19720422 000000 41429.000  -0.18880   0.22250 -0.421200 10.421200
19720423 000000 41430.000  -0.18850   0.22550 -0.424839 10.424839
19720424 000000 41431.000  -0.18810   0.22840 -0.428525 10.428525
19720425 000000 41432.000  -0.18770   0.23120 -0.432200 10.432200
19720426 000000 41433.000  -0.18720   0.23400 -0.435813 10.435813
19720427 000000 41434.000  -0.18660   0.23680 -0.439303 10.439303
19720428 000000 41435.000  -0.18610   0.23960 -0.442653 10.442653
19720429 000000 41436.000  -0.18540   0.24230 -0.445836 10.445836
19720430 000000 41437.000  -0.18480   0.24500 -0.448873 10.448873
19720501 000000 41438.000  -0.18400   0.24770 -0.451797 10.451797
19720502 000000 41439.000  -0.18320   0.25030 -0.454649 10.454649
19720503 000000 41440.000  -0.18240   0.25290 -0.457523 10.457523
19720504 000000 41441.000  -0.18150   0.25540 -0.460473 10.460473
19720505 000000 41442.000  -0.18060   0.25800 -0.463586 10.463586
19720506 000000 41443.000  -0.17960   0.26050 -0.466926 10.466926
